[UE3] [2025-07-19 11:36:22] [  5]   1.00-2.00   sec  3.57 MBytes  30.0 Mbits/sec  0.227 ms  0/2587 (0%)
[UE3] [2025-07-19 11:36:23] [  5]   2.00-3.00   sec  3.58 MBytes  30.0 Mbits/sec  0.110 ms  0/2592 (0%)
[UE3] [2025-07-19 11:36:24] [  5]   3.00-4.00   sec  3.58 MBytes  30.0 Mbits/sec  0.357 ms  0/2592 (0%)
[UE3] [2025-07-19 11:36:25] [  5]   4.00-5.00   sec  3.57 MBytes  30.0 Mbits/sec  0.162 ms  0/2588 (0%)
[UE3] [2025-07-19 11:36:26] [  5]   5.00-6.00   sec  3.58 MBytes  30.0 Mbits/sec  0.250 ms  0/2590 (0%)
[UE3] [2025-07-19 11:36:27] [  5]   6.00-7.00   sec  3.58 MBytes  30.0 Mbits/sec  0.213 ms  0/2589 (0%)
[UE3] [2025-07-19 11:36:28] [  5]   7.00-8.00   sec  3.55 MBytes  29.8 Mbits/sec  0.344 ms  19/2588 (0.73%)
[UE3] [2025-07-19 11:36:29] [  5]   8.00-9.00   sec  3.58 MBytes  30.0 Mbits/sec  0.232 ms  0/2590 (0%)
[UE3] [2025-07-19 11:36:30] [  5]   9.00-10.00  sec  3.58 MBytes  30.0 Mbits/sec  0.226 ms  0/2594 (0%)
[UE3] [2025-07-19 11:36:31] [  5]  10.00-11.00  sec  3.57 MBytes  30.0 Mbits/sec  0.285 ms  0/2587 (0%)
[UE3] [2025-07-19 11:36:32] [  5]  11.00-12.00  sec  3.58 MBytes  30.0 Mbits/sec  0.250 ms  0/2590 (0%)
[UE3] [2025-07-19 11:36:33] [  5]  12.00-13.00  sec  3.58 MBytes  30.0 Mbits/sec  0.138 ms  0/2590 (0%)
[UE3] [2025-07-19 11:36:34] [  5]  13.00-14.00  sec  3.58 MBytes  30.0 Mbits/sec  0.147 ms  0/2590 (0%)
[UE3] [2025-07-19 11:36:35] [  5]  14.00-15.00  sec  3.58 MBytes  30.0 Mbits/sec  0.139 ms  0/2590 (0%)
[UE3] [2025-07-19 11:36:36] [  5]  15.00-16.00  sec  3.58 MBytes  30.0 Mbits/sec  0.178 ms  0/2589 (0%)
[UE3] [2025-07-19 11:36:37] [  5]  16.00-17.00  sec  3.58 MBytes  30.0 Mbits/sec  0.210 ms  0/2591 (0%)
[UE3] [2025-07-19 11:36:38] [  5]  17.00-18.00  sec  3.58 MBytes  30.0 Mbits/sec  0.207 ms  0/2589 (0%)
[UE3] [2025-07-19 11:36:39] [  5]  18.00-19.00  sec  3.58 MBytes  30.0 Mbits/sec  0.178 ms  0/2589 (0%)
[UE3] [2025-07-19 11:36:40] [  5]  19.00-20.00  sec  3.58 MBytes  30.0 Mbits/sec  0.251 ms  0/2592 (0%)
[UE3] [2025-07-19 11:36:41] [  5]  20.00-21.00  sec  3.57 MBytes  30.0 Mbits/sec  0.154 ms  0/2588 (0%)
[UE3] [2025-07-19 11:36:42] [  5]  21.00-22.00  sec  3.58 MBytes  30.0 Mbits/sec  0.138 ms  0/2593 (0%)
[UE3] [2025-07-19 11:36:43] [  5]  22.00-23.00  sec  3.57 MBytes  30.0 Mbits/sec  0.195 ms  0/2587 (0%)
[UE3] [2025-07-19 11:36:44] [  5]  23.00-24.00  sec  3.58 MBytes  30.0 Mbits/sec  0.143 ms  0/2590 (0%)
[UE3] [2025-07-19 11:36:45] [  5]  24.00-25.00  sec  3.58 MBytes  30.0 Mbits/sec  0.282 ms  0/2590 (0%)
[UE3] [2025-07-19 11:36:46] [  5]  25.00-26.00  sec  3.57 MBytes  29.9 Mbits/sec  0.273 ms  0/2584 (0%)
[UE3] [2025-07-19 11:36:47] [  5]  26.00-27.00  sec  3.58 MBytes  30.1 Mbits/sec  0.213 ms  0/2595 (0%)
[UE3] [2025-07-19 11:36:48] [  5]  27.00-28.00  sec  3.58 MBytes  30.0 Mbits/sec  0.187 ms  0/2590 (0%)
[UE3] [2025-07-19 11:36:49] [  5]  28.00-29.00  sec  3.58 MBytes  30.0 Mbits/sec  0.155 ms  0/2590 (0%)
[UE3] [2025-07-19 11:36:50] [  5]  29.00-30.00  sec  3.57 MBytes  30.0 Mbits/sec  0.220 ms  0/2587 (0%)
[UE3] [2025-07-19 11:36:51] [  5]  30.00-31.00  sec  3.58 MBytes  30.0 Mbits/sec  0.298 ms  0/2592 (0%)
[UE3] [2025-07-19 11:36:52] [  5]  31.00-32.00  sec  3.58 MBytes  30.0 Mbits/sec  0.163 ms  0/2590 (0%)
[UE3] [2025-07-19 11:36:53] [  5]  32.00-33.00  sec  3.58 MBytes  30.0 Mbits/sec  0.164 ms  0/2590 (0%)
[UE3] [2025-07-19 11:36:54] [  5]  33.00-34.00  sec  3.57 MBytes  30.0 Mbits/sec  0.226 ms  0/2588 (0%)
[UE3] [2025-07-19 11:36:55] [  5]  34.00-35.00  sec  3.58 MBytes  30.0 Mbits/sec  0.225 ms  0/2591 (0%)
[UE3] [2025-07-19 11:36:56] [  5]  35.00-36.00  sec  3.58 MBytes  30.0 Mbits/sec  0.266 ms  0/2592 (0%)
[UE3] [2025-07-19 11:36:57] [  5]  36.00-37.00  sec  3.57 MBytes  30.0 Mbits/sec  0.183 ms  0/2588 (0%)
[UE3] [2025-07-19 11:36:58] [  5]  37.00-38.00  sec  3.57 MBytes  30.0 Mbits/sec  0.194 ms  0/2586 (0%)
[UE3] [2025-07-19 11:36:59] [  5]  38.00-39.00  sec  3.58 MBytes  30.0 Mbits/sec  0.132 ms  0/2593 (0%)
[UE3] [2025-07-19 11:37:00] [  5]  39.00-40.00  sec  3.58 MBytes  30.0 Mbits/sec  0.174 ms  0/2590 (0%)
[UE3] [2025-07-19 11:37:01] [  5]  40.00-41.00  sec  3.58 MBytes  30.0 Mbits/sec  0.109 ms  0/2589 (0%)
[UE3] [2025-07-19 11:37:02] [  5]  41.00-42.00  sec  3.58 MBytes  30.0 Mbits/sec  0.153 ms  0/2591 (0%)
[UE3] [2025-07-19 11:37:03] [  5]  42.00-43.00  sec  3.58 MBytes  30.0 Mbits/sec  0.087 ms  0/2589 (0%)
[UE3] [2025-07-19 11:37:04] [  5]  43.00-44.00  sec  3.57 MBytes  30.0 Mbits/sec  0.239 ms  0/2588 (0%)
[UE3] [2025-07-19 11:37:05] [  5]  44.00-45.00  sec  3.58 MBytes  30.0 Mbits/sec  0.142 ms  0/2593 (0%)
